iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
89,898.7067,0.146328876,0,0,0.0280333199,0.0846086219,0,0.0164990276,0,40,0
90,900.1958,0.145698574,0,0,0.0284444224,0.084592849,0,0.0164691824,0,40,0
91,901.578,0.145061672,0,0,0.0280599967,0.0845747292,0,0.0164289661,0,40,0
92,902.9506,0.144406153,0,0,0.0284340251,0.0845572874,0,0.0163974725,0,40,0
93,904.3262,0.143747918,0,0,0.0280399565,0.0845378786,0,0.0163553227,0,40,0
94,905.7002,0.143076212,0,0,0.0284708533,0.0845195577,0,0.0163232908,0,40,0
95,907.0798,0.142393091,0,0,0.0279641747,0.0845015943,0,0.0162791181,0,40,0
96,908.4538,0.1417012,0,0,0.0285750013,0.0844829082,0,0.0162481554,0,40,0
97,909.8281,0.140997493,0,0,0.0278002266,0.0844613239,0,0.0162006002,0,40,0
98,911.4288,0.140286806,0,0,0.0288416669,0.0844423547,0,0.0161728784,0,40,0
99,913.4116,0.139566047,0,0,0.0273845475,0.0844222605,0,0.0161160808,0,40,0
100,915.4707,0.138835807,0,0,0.02958964,0.0844020918,0,0.0161030758,0,40,0
101,917.4194,0.13809969,0,0,0.0262704566,0.084384203,0,0.0160206426,0,40,0
102,919.2211,0.137363017,0,0,0.030532388,0.084363386,0,0.0160560347,0,40,0
103,921.0279,0.136636192,0.00168414973,8.28986458e-07,0.0233158506,0.0843418688,0,0.0159067139,0,40,1
104,922.8368,0.136034785,0,0,0.0305095743,0.084323369,0,0.016152354,0,40,0
105,924.6387,0.135301599,0.00658173673,3.23971813e-06,0.0184182636,0.0843025222,0,0.0157953296,0,40,1
106,927.1105,0.134863745,0,0,0.0305077918,0.0842927769,0,0.016090285,0,40,0
107,929.0426,0.134233753,0,0,0.0288094636,0.0842813477,0,0.0158351418,0,40,0
108,931.0153,0.133825324,0,0,0.0278998502,0.0842701942,0,0.0157996826,0,40,0
109,932.8713,0.13340635,0,0,0.0284356624,0.0842606351,0,0.0157828908,0,40,0
110,934.9455,0.132977037,0,0,0.028071817,0.0842489153,0,0.0157544296,0,40,0
111,936.7569,0.132543507,0,0,0.0283318851,0.0842353478,0,0.0157331526,0,40,0
112,938.5656,0.132101826,0,0,0.0281263627,0.0842231661,0,0.0157054607,0,40,0
113,940.3643,0.131650493,0,0,0.0282911267,0.0842097104,0,0.015682118,0,40,0
114,942.1656,0.131191028,0,0,0.0281460304,0.0841968581,0,0.0156543534,0,40,0
115,944.0324,0.13072236,0,0,0.0282771904,0.0841836184,0,0.015629774,0,40,0
116,945.9638,0.130246299,0,0,0.0281460918,0.0841724277,0,0.0156012727,0,40,0
117,948.0556,0.129765179,0,0,0.0282797758,0.0841593593,0,0.0155752301,0,40,0
118,950.1882,0.129267777,0,0,0.0281295553,0.084146753,0,0.0155472476,0,40,0
119,952.4249,0.128771525,0,0,0.0283057895,0.0841321349,0,0.015519347,0,40,0
120,954.2967,0.128261112,0,0,0.0280780196,0.0841179118,0,0.0154896574,0,40,0
121,956.2302,0.127744693,0,0,0.028380638,0.084104158,0,0.0154642183,0,40,0
122,958.029,0.127220309,0,0,0.0279557221,0.0840898678,0,0.0154289324,0,40,0
123,959.8259,0.126687481,0,0,0.0285757836,0.0840731785,0,0.015406929,0,40,0
124,961.6506,0.126145785,0,0,0.0276364479,0.0840582103,0,0.015363941,0,40,0
125,963.633,0.125599597,0,0,0.0291664824,0.0840413719,0,0.0153529607,0,40,0
126,965.4532,0.125046509,0,0,0.0266408212,0.0840258002,0,0.0152890431,0,40,0
127,966.9062,0.124491495,0,0,0.0305222571,0.0840118006,0,0.0153234908,0,40,0
128,968.5425,0.123955423,0.00146667846,7.21940921e-07,0.0235333219,0.0839950442,0,0.0151939634,0,40,1
129,970.3696,0.123549734,0,0,0.0305512715,0.0839789733,0,0.0154610192,0,40,0
130,971.7648,0.0664277414,0.0061695762,3.03684101e-06,0.0188304242,0.0839920938,0,0.0139024202,0,20,1
131,973.6568,0.0661424922,0,0,0.0304762628,0.0839955583,0,0.0138810622,0,20,0
132,975.0277,0.0657152756,0,0,0.0290735625,0.0839978307,0,0.0132714109,0,20,0
133,976.4107,0.065530839,0,0,0.0280264057,0.0840003863,0,0.0129552502,0,20,0
134,977.7986,0.0653618394,0,0,0.0286717881,0.0840034559,0,0.0127031039,0,20,0
135,979.1846,0.0652074029,0,0,0.0282294899,0.0840023905,0,0.0124639841,0,20,0
136,980.9863,0.065064658,0,0,0.0285308454,0.0840046331,0,0.0122645842,0,20,0
137,982.5082,0.0649272426,0,0,0.0283154864,0.0840046108,0,0.0120796664,0,20,0
138,984.2436,0.0647955346,0,0,0.028477056,0.0840058252,0,0.0119199427,0,20,0
139,985.625,0.0646682127,0,0,0.0283506401,0.084005326,0,0.0117726298,0,20,0
140,986.9977,0.064541065,0,0,0.0284547415,0.0840062723,0,0.0116446083,0,20,0
141,988.3788,0.0644159842,0,0,0.0283562671,0.0840056539,0,0.0115251113,0,20,0
142,989.7766,0.0642918397,0,0,0.0284602288,0.0840055421,0,0.0114206383,0,20,0
143,991.1478,0.0641660288,0,0,0.0283453334,0.0840045139,0,0.0113223661,0,20,0
