iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
111,1894.3034,0.0199744909,0,0,0.0615761615,0,0,0,0.397219419,0.524853766,0
112,1901.523,0.0199589587,0,0,0.0597028285,0,0,0,0.395497888,0.522768676,0
113,1909.4601,0.0199519151,0,0,0.0608419701,0,0,0,0.396606445,0.52246964,0
114,1916.8708,0.0199455189,0,0,0.0598883741,0,0,0,0.395640582,0.521246076,0
115,1925.0196,0.0199433714,0,0,0.0605117381,0,0,0,0.396302253,0.521147072,0
116,1932.4743,0.0199406993,0,0,0.0600288846,0,0,0,0.395751506,0.520405769,0
117,1939.8251,0.0199395864,0,0,0.0603220426,0,0,0,0.396145433,0.520393848,0
118,1947.2771,0.0199386476,0,0,0.0599228963,0,0,0,0.395816177,0.519943476,0
119,1954.6363,0.0199385736,0,0,0.0601245537,0,0,0,0.396060258,0.519966185,0
120,1962.5311,0.0199383092,0,0,0.0598774813,0,0,0,0.395864427,0.519684851,0
121,1969.9698,0.0199382381,0,0,0.0600245334,0,0,0,0.396017224,0.519716799,0
